
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:59513  [2404:6800:4007:830::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:59516  [2404:6800:4007:830::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:59519  [2404:6800:4007:830::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:60381  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:60382  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:60383  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:61356  [2620:1ec:33::11]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:62054  [2606:4700:9762:7cbc:c276:80e:5ff2:75c4]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:62058  [2600:1417:73::17d9:3481]:443  ESTABLISHED     32292
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:62750  [2404:6800:4007:800::2004]:443  ESTABLISHED     18860
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:63635  [2606:4700:9762:7cbc:c276:80e:5ff2:75c4]:443  TIME_WAIT       0
  TCP    [2401:4900:88ce:6b30:cde6:b4f8:38fd:8390]:65207  [2404:6800:4007:82f::200a]:443  ESTABLISHED     12280
  UDP    0.0.0.0:500            *:*                                    5648
  UDP    0.0.0.0:4500           *:*                                    5648
  UDP    0.0.0.0:5353           *:*                                    9704
  UDP    0.0.0.0:5353           *:*                                    7744
  UDP    0.0.0.0:5353           *:*                                    18860
  UDP    0.0.0.0:5353           *:*                                    18860
  UDP    0.0.0.0:5353           *:*                                    7744
